Smiles,Nr. of heavy atoms,mols,Formal Charge,Nr_of_wildcards
*c1cccc(C2=NCC3CCCC2C3=O)c1*,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f94510>,0,2
*c1ccccc1[P-](#[S+])(S)c1ccccc1*,15,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f957e0>,0,2
*[c-]1[cH+][cH-][c+](C)[c-](*)[cH+]1,7,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb0d60>,0,2
*c1ccc(*)c(S(=O)(=O)c2c(F)c(F)nc3c2OCCN3C)c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1983c0>,0,2
*c1ccc(S(=O)(=O)c2c(F)c(F)nc3c2OCCN3C)c(*)c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb8660>,0,2
*c1c[s+]c(N=Cc2cccc(*)c2O)[n-]1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fbad50>,0,2
*c1c(C)cc(F)c(*)c1F,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1e1690>,0,2
*c1c(C2=C(C)O[B-](F)(F)[O+]=C2C)ccc([N+](=O)[O-])c1*,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1d6ab0>,0,2
*c1ccc2c3c(c(*)cc2c1)N(C)C(=O)C3(C)c1ccccc1,22,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fbae30>,0,2
*c1ccc2cc(*)c3c(c2c1)C(C)(c1ccccc1)C(=O)N3C,22,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd4820>,0,2
*c1cc(C=NNC(N)=S)c(*)cc1O,13,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd5e70>,0,2
*C(=NNC(N)=S)c1ccc(O)c(*)c1,13,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd4ac0>,0,2
*c1nn(*)c2c1C1CC(Oc3ccc(Br)cc31)O2,17,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd4200>,0,2
*c1cc2ccccc2c2nc3c(c(*)c12)C(=O)c1ccccc1-3,22,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd4eb0>,0,2
*c1c2c(nc3c1ccc1cccc(*)c13)-c1ccccc1C2=O,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc160580>,0,2
*c1cc2c(c(*)c1C)c1c(n2C(C)=O)OC(=O)CC1C=O,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc163290>,0,2
*c1cc(O)c([N+](=O)[O-])c(O)c1*,11,<rdkit.Chem.rdchem.Mol object at 0x7f73bc15d770>,0,2
*c1ccc(*)c([Si](C)(C)C2CC(=O)NC2C#N)c1,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc15eb90>,0,2
*c1cccc(*)c1[Si](C)(C)C1CC(=O)NC1C#N,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc15c4a0>,0,2
*c1cc2c(c(*)c1C)C(SC)C([N+](=O)[O-])=C(NC)O2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1704a0>,0,2
*c1ccc(C2=C(C)C(=O)C(C)C2O)c(*)c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc170190>,0,2
*c1cnc2c(c1*)C(=O)N(C)P(N(CCCl)CCCl)N2C,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc190ac0>,0,2
